,Locality,Price_per_sft,Area,Property_Type,BHK number,
0,Gundlapochampally,4200,1571,  Apartment,3,
1,Ameenpur,5400,1065,  Apartment,2,
2,Patancheru,7700,1930,  Villa,4,
3,Miyapur,6500,1967,  Apartment,3,
4,Uppal Kalan,6104,1065,  Apartment,2,
5,Pragathi Nagar Kukatpally,5599,1312,  Apartment,2,
6,Kukatpally,8699,1480,  Apartment,3,
7,Attapur,7299,2005,  Apartment,3,
8,Malkajgiri,7300,2245,  Apartment,3,
9,Adibatla,8500,3705,  Villa,4,
10,Manchirevula,6625,2150,  Apartment,3,
11,Patighanpur,6002,1885,  Apartment,3,
12,Bachupally,12000,3400,  Villa,4,
13,Maheshwaram,5200,2701,  Villa,4,
14,Attapur,7500,4706,  Apartment,4,
15,Kokapet,10239,2744,  Apartment,3,
16,Jeedimetla,5400,1902,  Apartment,3,
17,Yapral,6100,2780,  Apartment,3,
18,Rajendra Nagar,7641,1047,  Apartment,3,
19,Kollur,6500,6300,  Independent House,4,
20,Mamidipally,10357,2800,  Villa,4,
21,Ramachandrapuram,5500,3183,  Villa,4,
22,Shamshabad,6071,1285,  Apartment,2,
23,Manikonda,6200,1538,  Apartment,3,
24,Gundlapochampally,4200,1378,  Apartment,3,
25,Ameenpur,5400,1420,  Apartment,3,
26,Patancheru,7700,2130,  Villa,4,
27,Miyapur,6500,1573,  Apartment,3,
28,Uppal Kalan,6099,1705,  Apartment,3,
29,Pragathi Nagar Kukatpally,5599,1843,  Apartment,3,
30,Kukatpally,8699,1250,  Apartment,2,
31,Attapur,7299,1745,  Apartment,3,
32,Malkajgiri,7300,1955,  Apartment,3,
33,Adibatla,8500,3705,  Villa,4,
34,Manchirevula,6656,1965,  Apartment,3,
35,Patighanpur,6002,1885,  Apartment,3,
36,Bachupally,12000,3400,  Villa,4,
37,Maheshwaram,5199,3060,  Villa,4,
38,Attapur,7502,2350,  Apartment,3,
39,Kokapet,10319,2152,  Apartment,3,
40,Jeedimetla,5400,1510,  Apartment,2,
41,Sainikpuri,6300,2200,  Apartment,3,
42,Rajendra Nagar,7869,610,  Apartment,1,
43,Kollur,6500,6300,  Independent House,4,
44,Ramachandrapuram,5500,5037,  Villa,4,
45,Shamshabad,6071,1285,  Apartment,2,
46,Manikonda,6200,1505,  Apartment,3,
47,Gundlapochampally,4200,1116,  Apartment,2,
48,Ameenpur,5400,1165,  Apartment,2,
49,Patancheru,7700,2300,  Villa,4,
50,Miyapur,6500,1914,  Apartment,3,
51,Uppal Kalan,6099,1380,  Apartment,3,
52,Pragathi Nagar Kukatpally,5599,1711,  Apartment,3,
53,Kukatpally,8699,2380,  Apartment,3,
54,Attapur,7299,2440,  Apartment,3,
55,Malkajgiri,7300,1670,  Apartment,3,
56,Adibatla,8500,3700,  Villa,4,
57,Manchirevula,6726,1640,  Apartment,3,
58,Patighanpur,5999,1285,  Apartment,2,
59,Bachupally,12000,3770,  Villa,4,
60,Attapur,7500,4706,  Apartment,4,
61,Kokapet,11540,5472,  Apartment,5,
62,Jeedimetla,5400,1900,  Apartment,3,
63,Sainikpuri,6300,2195,  Apartment,3,
64,Rajendra Nagar,7224,1315,  Apartment,3,
65,Kollur,6500,3200,  Independent House,3,
66,Ramachandrapuram,5500,3180,  Villa,4,
67,Shamshabad,6071,1285,  Apartment,2,
68,Manikonda,6200,1245,  Apartment,2,
69,Tellapur,7299,5962,  Apartment,5,
70,Pragathi Nagar Kukatpally,5090,1100,  Apartment,2,
71,Nandigama,5400,1100,  Villa,2,
72,Patancheru,7730,1630,  Villa,3,
73,Alwal,5500,1400,  Apartment,3,
74,Pasumamula,6500,2627,  Villa,3,
75,Tukkuguda,4500,1405,  Apartment,3,
76,Osman Nagar,17500,5275,  Villa,5,
77,Kokapet,7299,2080,  Apartment,3,
78,Malkajgiri,7300,2010,  Apartment,3,
79,Kompally,6005,1090,  Apartment,2,
80,Pocharam,4700,1833,  Apartment,3,
81,Ibrahimpatnam,5759,2700,  Villa,3,
82,Hayathnagar,6000,2622,  Villa,3,
83,Serilingampally,7299,2300,  Apartment,3,
84,Shankarpalli,3802,1268,  Apartment,2,
85,Malkajgiri,7300,2245,  Apartment,3,
86,Ameenpur,4600,1505,  Apartment,3,
87,Mallepally,11000,2504,  Apartment,4,
88,Patancheru,7500,2350,  Villa,3,
89,Bachupally,4799,1440,  Apartment,3,
90,Mokila,8000,3800,  Villa,4,
91,Pocharam,3800,935,  Apartment,2,
92,Munganoor,5913,1150,  Independent House,2,
93,Ameerpet,11000,2450,  Apartment,3,
94,Kompally,4100,1514,  Apartment,3,
95,Ameenpur,4799,1600,  Apartment,3,
96,Patancheru,6450,2675,  Villa,3,
97,Jubilee Hills,9876,3240,  Apartment,3,
98,Uppal Kalan,5549,1431,  Apartment,3,
99,Serilingampally,7352,1877,  Apartment,3,
100,Gundlapochampally,4200,1486,  Apartment,3,
101,Gundlapochampally,4200,1594,  Apartment,3,
102,Ameenpur,5400,1240,  Apartment,2,
103,Ameenpur,5400,1200,  Apartment,2,
104,Ameenpur,5400,1480,  Apartment,3,
105,Patancheru,7700,2100,  Villa,4,
106,Miyapur,6500,1083,  Apartment,2,
107,Uppal Kalan,6099,1195,  Apartment,2,
108,Uppal Kalan,6099,1790,  Apartment,3,
109,Uppal Kalan,6099,1630,  Apartment,3,
110,Pragathi Nagar Kukatpally,5599,1960,  Apartment,3,
111,Kukatpally,8699,2050,  Apartment,3,
112,Kukatpally,8699,1700,  Apartment,3,
113,Attapur,7299,1615,  Apartment,3,
114,Attapur,7299,2120,  Apartment,3,
115,Attapur,7299,2840,  Apartment,3,
116,Attapur,7299,2710,  Apartment,3,
117,Attapur,7299,2180,  Apartment,3,
118,Attapur,7299,1750,  Apartment,3,
119,Attapur,7299,2260,  Apartment,3,
120,Attapur,7299,2135,  Apartment,3,
121,Attapur,7299,1395,  Apartment,3,
122,Malkajgiri,7300,2215,  Apartment,3,
123,Malkajgiri,7300,1800,  Apartment,3,
124,Malkajgiri,7300,1740,  Apartment,3,
125,Kollur,4998,1105,  Apartment,2,
126,Adibatla,8500,3700,  Villa,4,
127,Adibatla,8500,3705,  Villa,4,
128,Kollur,4998,1105,  Apartment,2,
129,Kollur,4998,1105,  Apartment,2,
130,Adibatla,8500,3700,  Villa,4,
131,Kollur,5500,2155,  Apartment,3,
132,Kollur,5500,2455,  Apartment,3,
133,Kollur,5500,1855,  Apartment,3,
134,Kollur,5500,1655,  Apartment,3,
135,Tellapur,7299,3569,  Independent House,4,
136,Tellapur,7299,1687,  Apartment,3,
137,Tellapur,7299,5783,  Apartment,5,
138,Tellapur,7299,2132,  Apartment,3,
139,Tellapur,7299,6374,  Apartment,5,
140,Tellapur,7299,6371,  Apartment,5,
